Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
Hyundai Elite i20 1.2 SPORTZ PLUS DUAL TONE VTVT,Bengaluru,2019,"6,491",Petrol,1st,"8,20,099"
Maruti Alto LXI,Bengaluru,2009,"62,353",Petrol,3rd,"1,91,299"
Hyundai Verna FLUIDIC 1.6 EX CRDI,Bengaluru,2011,"71,771",Diesel,1st,"5,07,199"
Maruti Eeco 5 STR WITH AC PLUSHTR,Bengaluru,2019,"24,032",Petrol,1st,"4,82,199"
Ford Ecosport 1.0 ECOBOOST TITANIUM SPORTS(SUNROOF),Bengaluru,2019,"9,236",Petrol,1st,"9,88,099"
Maruti Swift VXI,Bengaluru,2018,"3,642",Petrol,1st,"6,25,399"
Maruti Swift Dzire VDI BS IV,Bengaluru,2012,"74,010",Diesel,1st,"4,37,499"
Maruti Alto LXI,Bengaluru,2011,"77,395",Petrol,2nd,"2,45,299"
Maruti Zen Estilo LXI,Bengaluru,2009,"70,598",Petrol,1st,"2,22,499"
Hyundai i20 Active 1.2 SX,Bengaluru,2016,"19,581",Petrol,1st,"6,18,099"
Maruti Wagon R 1.0 VXI,Bengaluru,2014,"57,275",Petrol,1st,"3,64,999"
Maruti Alto K10 VXI,Bengaluru,2012,"81,811",Petrol,1st,"2,52,799"
Renault Kwid RXT 1.0 EASY-R  AT,Bengaluru,2017,"7,688",Petrol,1st,"4,29,299"
Honda Jazz 1.2 SV PETROL,Bengaluru,2015,"49,959",Petrol,2nd,"4,66,799"
Chevrolet Beat LS PETROL,Bengaluru,2011,"98,893",Petrol,1st,"2,47,499"
Hyundai i10 SPORTZ 1.2,Bengaluru,2009,"65,199",Petrol,3rd,"2,64,499"
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Bengaluru,2015,"19,346",Petrol,1st,"4,75,199"
Maruti Alto LXI,Bengaluru,2009,"67,415",Petrol,2nd,"2,13,899"
Maruti Swift VDI,Bengaluru,2011,"1,07,079",Diesel,1st,"3,47,399"
Maruti Wagon R 1.0 VXI,Bengaluru,2014,"62,642",Petrol,1st,"3,93,899"
Maruti Wagon R VXI MINOR,Bengaluru,2009,"63,993",Petrol,1st,"2,64,499"
Hyundai i10 MAGNA 1.2 KAPPA2,Bengaluru,2010,"84,426",Petrol,1st,"3,10,999"
