Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
Renault Duster 85 PS RXE,Chandigarh,2016,"66,041",Diesel,2nd,"5,69,099"
Toyota Etios Liva GD,Chandigarh,2012,"94,952",Diesel,1st,"2,59,299"
Maruti Swift VDI,Chandigarh,2013,"82,591",Diesel,1st,"3,31,999"
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Chandigarh,2013,"85,110",Petrol,1st,"3,38,599"
Maruti Swift Dzire VDI BS IV,Chandigarh,2014,"92,793",Diesel,1st,"3,88,599"
Maruti Alto K10 LXI,Chandigarh,2014,"79,502",Petrol,1st,"2,32,399"
Maruti Swift Dzire VDI BS IV,Chandigarh,2012,"97,973",Diesel,1st,"3,41,399"
Maruti S Cross ALPHA SHVS,Chandigarh,2017,"86,066",Diesel,1st,"8,33,299"
Honda City VX MT DIESEL,Chandigarh,2014,"75,551",Diesel,1st,"5,45,199"
Maruti Swift Dzire VDI BS IV,Chandigarh,2012,"92,072",Diesel,1st,"3,06,399"
Maruti Swift VDI,Chandigarh,2013,"87,567",Diesel,1st,"3,37,699"
Toyota Etios Liva GD SP,Chandigarh,2012,"94,755",Diesel,1st,"2,71,999"
Maruti Swift Dzire VDI BS IV,Chandigarh,2012,"95,472",Diesel,1st,"2,82,999"
Toyota Corolla Altis 1.8 G,Chandigarh,2011,"95,015",Petrol,2nd,"4,28,799"
Maruti Swift ZDI,Chandigarh,2014,"72,636",Diesel,1st,"4,42,199"
Maruti Swift ZDI,Chandigarh,2012,"96,637",Diesel,2nd,"2,85,199"
Hyundai Verna FLUIDIC 1.6 SX CRDI OPT,Chandigarh,2012,"95,741",Diesel,1st,"3,99,699"
Maruti Swift Dzire VDI BS IV,Chandigarh,2013,"83,315",Diesel,1st,"3,65,199"
Toyota Etios G,Chandigarh,2012,"1,19,615",Petrol,1st,"2,98,199"
Hyundai Verna FLUIDIC 1.4 CRDI CX,Chandigarh,2014,"84,334",Diesel,1st,"4,73,099"
Maruti Swift Dzire ZDI,Chandigarh,2013,"88,228",Diesel,1st,"4,23,299"
Maruti Ritz VDI,Chandigarh,2012,"86,937",Diesel,2nd,"2,74,799"
Maruti Vitara Brezza VDI,Chandigarh,2018,"67,617",Diesel,1st,"7,29,999"
Renault Duster 85 PS RXL,Chandigarh,2012,"97,044",Diesel,2nd,"3,50,899"
Maruti Baleno ALPHA DDIS 190,Chandigarh,2016,"81,175",Diesel,1st,"5,27,299"
Ford Ecosport 1.5 TDCI TITANIUM PLUS,Chandigarh,2017,"79,368",Diesel,1st,"6,66,299"
Hyundai Creta 1.6 CRDI SX PLUS AUTO,Chandigarh,2017,"80,682",Diesel,1st,"9,65,299"
Renault Duster RXL DIESEL 110,Chandigarh,2013,"74,809",Diesel,1st,"4,22,899"
Volkswagen Jetta TRENDLINE 1.4 TSI MT,Chandigarh,2012,"88,973",Petrol,2nd,"4,44,799"
Maruti Swift Dzire ZDI,Chandigarh,2013,"77,823",Diesel,1st,"3,71,099"
Mahindra Scorpio S10,Chandigarh,2016,"51,569",Diesel,1st,"9,56,699"
Maruti Ritz VXI,Chandigarh,2009,"80,590",Petrol,1st,"2,62,699"
Maruti Swift Dzire VDI BS IV,Chandigarh,2014,"88,835",Diesel,1st,"3,44,299"
Hyundai Creta 1.6 CRDI SX PLUS AUTO,Chandigarh,2018,"65,305",Diesel,1st,"11,95,599"
Maruti Vitara Brezza VDI,Chandigarh,2016,"78,346",Diesel,1st,"6,01,899"
Hyundai Creta 1.6 SX (O) CRDI,Chandigarh,2018,"59,837",Diesel,2nd,"11,41,599"
Maruti Swift VDI,Chandigarh,2014,"89,039",Diesel,2nd,"3,31,999"
Maruti Swift LXI 1.3,Chandigarh,2008,"1,03,127",Petrol,2nd,"1,89,099"
Honda Amaze 1.5 SX MT I DTEC,Chandigarh,2015,"1,08,988",Diesel,1st,"3,42,299"
Renault Duster 85 PS RXE,Chandigarh,2013,"84,715",Diesel,2nd,"3,82,699"
Hyundai Creta 1.6 CRDI SX PLUS AUTO,Chandigarh,2017,"54,815",Diesel,1st,"11,09,299"
Maruti Swift VDI ABS,Chandigarh,2015,"76,724",Diesel,1st,"4,11,199"
Maruti Eeco 5 STR CNG WITH AC PLUSHTR,Chandigarh,2016,"75,292",Petrol + CNG,1st,"3,02,099"
Honda Jazz 1.2 BASE I VTEC,Chandigarh,2010,"1,07,333",Petrol,2nd,"2,35,099"
Hyundai Verna FLUIDIC 1.6 SX CRDI,Chandigarh,2014,"82,592",Diesel,2nd,"4,45,999"
Maruti Swift Dzire VDI BS IV,Chandigarh,2013,"79,248",Diesel,2nd,"3,52,799"
Maruti Ciaz ALPHA 1.3 DDIS SHVS,Chandigarh,2018,"57,860",Diesel,1st,"7,47,199"
Maruti Swift Dzire VDI BS IV,Chandigarh,2012,"1,02,746",Diesel,1st,"3,39,899"
Fiat Punto EVO MULTIJET 1.3 90 HP,Chandigarh,2014,"82,095",Diesel,1st,"2,69,199"
Maruti Ritz VDI,Chandigarh,2013,"96,288",Diesel,1st,"2,57,299"
Mercedes Benz E Class E 220 CDI ELEGANCE,Chandigarh,2013,"52,110",Diesel,1st,"12,47,899"
Hyundai i20 ASTA 1.2,Chandigarh,2009,"1,12,303",Petrol,1st,"2,32,099"
BMW 3 Series 320D,Chandigarh,2012,"26,566",Diesel,2nd,"10,47,499"
Maruti Swift VDI ABS,Chandigarh,2015,"85,551",Diesel,1st,"4,12,099"
Maruti Swift VDI,Chandigarh,2012,"1,02,024",Diesel,1st,"2,89,999"
Mahindra XUV500 W8 AWD,Chandigarh,2014,"79,878",Diesel,2nd,"6,33,899"
Hyundai i20 MAGNA 1.2 VTVT,Chandigarh,2009,"1,26,202",Petrol,1st,"2,48,599"
Ford Ecosport 1.5 TREND TDCI,Chandigarh,2015,"90,792",Diesel,1st,"4,89,999"
Toyota Etios Liva GD,Chandigarh,2013,"1,12,188",Diesel,1st,"2,73,299"
Maruti Ritz LXI,Chandigarh,2010,"1,01,633",Petrol,2nd,"2,12,699"
Volkswagen Vento COMFORTLINE DIESEL,Chandigarh,2014,"82,081",Diesel,1st,"3,14,999"
Maruti Swift Dzire VXI 1.3,Chandigarh,2009,"1,91,532",Petrol,1st,"1,78,199"
Honda City S MT PETROL,Chandigarh,2010,"1,13,701",Petrol,1st,"3,46,399"
Honda Amaze 1.5 SMT I DTEC,Chandigarh,2013,"99,449",Diesel,2nd,"2,56,799"
Toyota Etios Liva D 4D GD,Chandigarh,2012,"1,24,471",Diesel,1st,"2,68,299"
Maruti Swift VDI ABS,Chandigarh,2015,"92,086",Diesel,1st,"3,94,899"
Maruti Swift VDI ABS,Chandigarh,2015,"91,280",Diesel,1st,"3,83,299"
Toyota Etios Liva GD exclusive,Chandigarh,2013,"97,735",Diesel,1st,"3,01,099"
Hyundai i20 ASTA 1.4 CRDI,Chandigarh,2012,"1,08,007",Diesel,2nd,"3,03,699"
Maruti Swift VDI,Chandigarh,2012,"1,05,388",Diesel,1st,"3,48,699"
Maruti Swift VDI,Chandigarh,2012,"95,400",Diesel,2nd,"2,85,899"
Maruti Swift Dzire VXI AT,Chandigarh,2013,"99,254",Petrol,2nd,"3,26,899"
Maruti Ritz VDI,Chandigarh,2012,"1,00,995",Diesel,1st,"2,37,899"
Hyundai i20 MAGNA O 1.4 CRDI,Chandigarh,2013,"94,267",Diesel,1st,"3,22,799"
Maruti Swift VDI ABS,Chandigarh,2015,"92,527",Diesel,1st,"3,77,399"
Maruti Swift VDI ABS,Chandigarh,2015,"1,01,209",Diesel,1st,"3,73,099"
Maruti Swift VDI,Chandigarh,2012,"1,12,723",Diesel,1st,"2,81,399"
Maruti Ciaz VDI+ SHVS,Chandigarh,2015,"95,637",Diesel,1st,"5,44,999"
Maruti Ciaz SHVS VDI,Chandigarh,2017,"98,712",Diesel,1st,"5,54,699"
Maruti Swift VDI,Chandigarh,2013,"84,308",Diesel,2nd,"3,11,699"
Maruti Swift Dzire VDI,Chandigarh,2013,"1,06,300",Diesel,1st,"3,38,099"
Honda Mobilio 1.5 S I DTEC,Chandigarh,2015,"99,511",Diesel,1st,"4,26,399"
Maruti Swift Dzire VDI BS IV,Chandigarh,2012,"1,05,522",Diesel,1st,"3,13,899"
Maruti Swift Dzire VDI,Chandigarh,2013,"90,775",Diesel,1st,"3,54,999"
Toyota Etios Liva D 4D GD,Chandigarh,2013,"1,11,431",Diesel,1st,"3,17,899"
Maruti Swift VDI,Chandigarh,2012,"95,613",Diesel,1st,"3,00,599"
Maruti Swift VDI ABS,Chandigarh,2015,"96,266",Diesel,1st,"4,09,799"
Maruti Swift Dzire VDI BS IV,Chandigarh,2013,"1,04,976",Diesel,2nd,"3,28,099"
Hyundai i10 SPORTZ 1.2 KAPPA2,Chandigarh,2010,"1,16,871",Petrol,1st,"2,23,099"
Maruti Swift VDI ABS,Chandigarh,2015,"91,461",Diesel,1st,"4,05,299"
Maruti Swift VDI ABS,Chandigarh,2015,"97,868",Diesel,1st,"4,19,899"
Maruti Ritz VXI BS IV,Chandigarh,2010,"1,61,419",Petrol,2nd,"2,03,599"
Maruti Alto K10 VXI,Chandigarh,2015,"1,29,709",Petrol,1st,"2,61,899"
Hyundai Verna FLUIDIC 1.6 SX CRDI,Chandigarh,2012,"1,15,457",Diesel,1st,"3,47,699"
Maruti Swift VDI ABS,Chandigarh,2015,"1,22,762",Diesel,1st,"3,61,699"
Maruti Swift LDI O,Chandigarh,2015,"1,14,204",Diesel,1st,"3,59,799"
Mahindra XUV500 W8 FWD,Chandigarh,2015,"84,778",Diesel,2nd,"7,08,499"
Maruti Swift VDI ABS,Chandigarh,2015,"1,22,515",Diesel,1st,"3,97,599"
Maruti Swift VDI,Chandigarh,2013,"1,07,134",Diesel,1st,"2,99,199"
Honda City S MT PETROL,Chandigarh,2010,"1,42,754",Petrol,3rd,"3,09,299"
Maruti Swift Dzire ZDI,Chandigarh,2013,"1,10,484",Diesel,1st,"3,77,299"
Maruti Vitara Brezza ZDI,Chandigarh,2016,"1,01,529",Diesel,1st,"6,28,699"
Maruti Swift VDI ABS,Chandigarh,2015,"1,13,889",Diesel,1st,"4,17,599"
Maruti Swift Dzire VDI BS IV,Chandigarh,2014,"96,978",Diesel,1st,"3,98,999"
Hyundai i20 MAGNA 1.2 VTVT,Chandigarh,2009,"1,78,363",Petrol,1st,"2,57,499"
Mahindra XUV500 W10 FWD,Chandigarh,2017,"93,769",Diesel,1st,"9,74,299"
Toyota Etios Liva GD,Chandigarh,2013,"1,10,645",Diesel,1st,"3,04,699"
Maruti Ritz LDI,Chandigarh,2012,"1,01,187",Diesel,2nd,"2,04,899"
Hyundai Elite i20 MAGNA 1.4 CRDI,Chandigarh,2015,"1,06,123",Diesel,1st,"4,78,099"
Mahindra XUV500 W10 FWD,Chandigarh,2017,"92,937",Diesel,1st,"11,12,299"
Maruti Ritz VDI,Chandigarh,2012,"1,22,524",Diesel,1st,"2,25,499"
Maruti Vitara Brezza VDI,Chandigarh,2016,"1,11,613",Diesel,1st,"5,35,599"
Maruti Swift VDI,Chandigarh,2012,"89,318",Diesel,1st,"2,91,699"
Maruti Swift VDI,Chandigarh,2014,"1,15,512",Diesel,2nd,"3,55,799"
Hyundai Elite i20 MAGNA 1.4 CRDI,Chandigarh,2015,"1,10,531",Diesel,1st,"4,16,499"
Maruti Swift VDI,Chandigarh,2012,"1,20,187",Diesel,2nd,"2,92,399"
Maruti Ritz VDI,Chandigarh,2012,"1,23,546",Diesel,1st,"2,15,699"
Hyundai Elite i20 ASTA 1.2,Chandigarh,2015,"1,10,977",Petrol,2nd,"4,74,099"
Maruti Swift Dzire VDI BS IV,Chandigarh,2014,"1,44,247",Diesel,1st,"3,77,599"
Maruti Swift VDI,Chandigarh,2014,"1,09,180",Diesel,1st,"3,57,899"
Renault Scala RXZ,Chandigarh,2013,"1,03,633",Diesel,1st,"2,84,199"
Maruti Swift VDI ABS,Chandigarh,2015,"1,08,083",Diesel,1st,"4,23,299"
Hyundai i20 SPORTZ 1.4 CRDI,Chandigarh,2013,"1,14,943",Diesel,2nd,"3,44,599"
Maruti Swift VDI ABS,Chandigarh,2015,"1,07,563",Diesel,1st,"4,31,999"
Toyota Corolla Altis GL,Chandigarh,2015,"79,084",Petrol,2nd,"8,13,099"
Maruti Swift Dzire VDI BS IV,Chandigarh,2012,"1,14,962",Diesel,1st,"3,32,299"
Honda City VX MT O DIESEL,Chandigarh,2015,"1,02,442",Diesel,2nd,"5,49,599"
Maruti Alto 800 LXI,Chandigarh,2012,"1,26,375",Petrol,2nd,"1,97,599"
Skoda Rapid AMBITION 1.6 MPI MT PLUS,Chandigarh,2014,"1,34,412",Petrol,1st,"3,31,999"
Skoda Rapid 1.6 TDI MT AMBITION,Chandigarh,2012,"1,82,075",Diesel,1st,"2,52,399"
Hyundai Creta 1.6 CRDI SX PLUS AUTO,Chandigarh,2018,"78,027",Diesel,2nd,"10,90,899"
Toyota Innova 2.5 GX 8 STR BS IV,Chandigarh,2015,"76,940",Diesel,2nd,"7,11,199"
Toyota Innova 2.5 VX 7 STR BS IV,Chandigarh,2015,"73,147",Diesel,2nd,"8,48,499"
Ford Ecosport 1.5 AMBIENTE TDCI,Chandigarh,2015,"1,22,227",Diesel,2nd,"4,76,599"
Hyundai i20 SPORTZ 1.4 CRDI,Chandigarh,2012,"1,41,069",Diesel,1st,"2,79,899"
Toyota Corolla Altis D 4D J,Chandigarh,2012,"1,05,865",Diesel,1st,"3,71,199"
Toyota Etios GD,Chandigarh,2012,"1,21,820",Diesel,1st,"2,79,399"
Maruti Swift VDI,Chandigarh,2013,"1,13,429",Diesel,1st,"3,38,399"
Maruti Ritz VXI BS IV,Chandigarh,2011,"1,15,774",Petrol,1st,"3,04,799"
Renault Duster 85 PS RXE,Chandigarh,2014,"1,05,137",Diesel,2nd,"3,73,599"
Hyundai i10 MAGNA 1.2 KAPPA2,Chandigarh,2010,"1,16,941",Petrol,1st,"2,30,799"
Maruti Vitara Brezza ZDI PLUS,Chandigarh,2017,"1,02,689",Diesel,1st,"6,89,799"
Honda Amaze 1.5 SMT I DTEC,Chandigarh,2014,"1,41,685",Diesel,1st,"3,01,999"
Hyundai Verna FLUIDIC 1.6 SX CRDI,Chandigarh,2013,"1,34,080",Diesel,1st,"3,73,999"
Hyundai Verna FLUIDIC 1.6 EX CRDI,Chandigarh,2012,"1,32,589",Diesel,1st,"3,70,899"
Maruti Swift LDI BS IV,Chandigarh,2014,"1,21,360",Diesel,2nd,"2,92,599"
Toyota Etios Liva D 4D GD SP,Chandigarh,2014,"1,34,058",Diesel,2nd,"3,30,799"
Ford Ecosport 1.5 TREND TDCI,Chandigarh,2014,"1,21,293",Diesel,1st,"4,53,899"
Maruti Swift Dzire VDI BS IV,Chandigarh,2013,"1,56,670",Diesel,1st,"3,57,099"
Maruti Swift Dzire VDI BS IV,Chandigarh,2013,"1,29,364",Diesel,1st,"3,35,899"
Hyundai Grand i10 MAGNA 1.2 VTVT,Chandigarh,2013,"1,27,420",Petrol,1st,"3,08,499"
Maruti Swift VDI,Chandigarh,2013,"1,18,272",Diesel,3rd,"3,36,299"
Honda CRV 2.0 MT,Chandigarh,2008,"1,91,022",Petrol,1st,"4,50,099"
Maruti Swift VDI,Chandigarh,2012,"1,29,639",Diesel,1st,"2,91,999"
Toyota Etios Liva GD,Chandigarh,2012,"1,60,408",Diesel,1st,"2,59,999"
Maruti Wagon R 1.0 VXI,Chandigarh,2013,"1,03,766",Petrol,1st,"2,86,199"
Maruti Swift ZDI,Chandigarh,2012,"1,36,016",Diesel,1st,"3,09,699"
Hyundai Creta 1.6 SX CRDI,Chandigarh,2015,"88,375",Diesel,1st,"7,44,299"
Maruti Swift VDI,Chandigarh,2012,"1,42,099",Diesel,1st,"2,83,299"
Hyundai i20 SPORTZ 1.4 CRDI,Chandigarh,2012,"1,39,216",Diesel,1st,"2,60,399"
Maruti Swift ZDI,Chandigarh,2013,"1,41,309",Diesel,1st,"3,28,499"
Maruti Ertiga ZDI,Chandigarh,2013,"1,67,408",Diesel,1st,"3,91,799"
Maruti Swift Dzire VDI BS IV,Chandigarh,2012,"1,29,390",Diesel,1st,"2,97,999"
Mahindra XUV500 W4,Chandigarh,2014,"1,49,605",Diesel,1st,"4,47,299"
Maruti Swift Dzire VDI BS IV,Chandigarh,2012,"1,27,042",Diesel,1st,"2,87,799"
Maruti Swift Dzire ZDI,Chandigarh,2013,"1,38,136",Diesel,1st,"3,85,999"
Maruti Swift VDI,Chandigarh,2013,"1,44,263",Diesel,2nd,"2,88,299"
Maruti Swift Dzire VDI BS IV,Chandigarh,2013,"1,54,164",Diesel,1st,"3,10,699"
Maruti Swift ZDI,Chandigarh,2012,"1,40,967",Diesel,1st,"2,93,599"
Toyota Etios Liva GD,Chandigarh,2012,"1,33,608",Diesel,1st,"2,45,799"
Maruti Swift Dzire LDI BS IV,Chandigarh,2013,"1,46,512",Diesel,1st,"2,69,699"
Honda City S MT PETROL,Chandigarh,2010,"1,27,375",Petrol,1st,"3,97,299"
Maruti SX4 VDI,Chandigarh,2011,"1,55,467",Diesel,1st,"1,75,899"
Maruti Swift VXI,Chandigarh,2014,"1,75,425",Petrol + CNG,1st,"3,57,999"
Maruti Swift Dzire VDI,Chandigarh,2013,"1,22,425",Diesel,1st,"4,00,799"
Hyundai Verna FLUIDIC 1.6 SX CRDI,Chandigarh,2013,"1,44,824",Diesel,1st,"4,05,099"
Hyundai Grand i10 SPORTZ 1.1 CRDI,Chandigarh,2013,"1,07,815",Diesel,2nd,"2,83,899"
Maruti Swift ZDI,Chandigarh,2012,"1,36,700",Diesel,1st,"3,16,299"
Maruti Swift VDI,Chandigarh,2012,"1,56,680",Diesel,1st,"2,83,899"
Maruti Swift ZDI,Chandigarh,2014,"1,22,254",Diesel,2nd,"3,96,299"
Hyundai Eon ERA PLUS,Chandigarh,2013,"1,13,657",Petrol,2nd,"2,25,899"
Maruti Swift Dzire VDI BS IV,Chandigarh,2012,"1,28,836",Diesel,1st,"2,91,299"
Maruti Swift Dzire LDI BS IV,Chandigarh,2013,"1,22,165",Diesel,1st,"2,53,499"
Maruti Ritz VXI BS IV,Chandigarh,2013,"2,10,854",Petrol,1st,"2,62,799"
Toyota Innova 2.5 VX 8 STR BS IV,Chandigarh,2014,"69,781",Diesel,1st,"9,73,699"
Toyota Innova 2.5 VX 7 STR BS IV,Chandigarh,2015,"1,11,562",Diesel,1st,"8,56,299"
Hyundai Elite i20 SPORTZ 1.4,Chandigarh,2017,"1,48,526",Diesel,1st,"4,97,099"
Maruti Swift Dzire ZDI,Chandigarh,2013,"1,17,879",Diesel,1st,"3,80,599"
Maruti Ciaz VDI+ SHVS,Chandigarh,2015,"1,61,213",Diesel,1st,"4,87,899"
Toyota Etios Liva G,Chandigarh,2014,"1,76,778",Petrol,2nd,"3,12,599"
Maruti Swift VDI,Chandigarh,2012,"2,41,361",Diesel,1st,"3,34,199"
Renault Scala RXZ,Chandigarh,2013,"2,19,642",Diesel,1st,"2,59,799"
Maruti Alto K10 VXI,Chandigarh,2013,"63,758",Petrol,3rd,"2,21,599"
Ford Ecosport 1.5 AMBIENTE TDCI,Chandigarh,2013,"1,88,137",Diesel,1st,"3,99,399"
Toyota Corolla Altis D 4D J,Chandigarh,2015,"1,32,201",Diesel,1st,"6,98,499"
Volkswagen Vento HIGHLINE DIESEL,Chandigarh,2013,"1,92,715",Diesel,1st,"3,71,699"
Toyota Etios GD,Chandigarh,2012,"1,97,898",Diesel,1st,"2,80,699"
Toyota Etios Liva GD,Chandigarh,2013,"1,26,989",Diesel,1st,"3,11,399"
Toyota Innova Crysta 2.4 GX 7 STR,Chandigarh,2017,"1,33,126",Diesel,2nd,"11,74,099"
Maruti Wagon R 1.0 LXI,Chandigarh,2015,"2,23,583",Petrol,1st,"2,10,199"
Mahindra XUV500 W10,Chandigarh,2015,"1,13,208",Diesel,1st,"8,39,699"
Toyota Innova 2.5 VX 8 STR BS IV,Chandigarh,2014,"82,096",Diesel,1st,"9,75,699"
Maruti Vitara Brezza VDI,Chandigarh,2018,"1,12,230",Diesel,1st,"6,71,399"
Toyota Fortuner 3.0 AT 4X2,Chandigarh,2012,"1,85,598",Diesel,1st,"10,18,299"
Toyota Innova 2.5 GX 7 STR BS IV,Chandigarh,2013,"1,95,338",Diesel,1st,"6,05,599"
Toyota Fortuner 3.0 MT 4X2,Chandigarh,2012,"1,45,197",Diesel,1st,"11,30,299"
Toyota Fortuner 3.0 MT 4X4,Chandigarh,2012,"1,94,439",Diesel,1st,"10,50,799"
Toyota Innova 2.5 GX 7 STR BS IV,Chandigarh,2013,"2,87,219",Diesel,1st,"6,61,099"
Toyota Innova 2.5 VX 8 STR BS IV,Chandigarh,2014,"84,036",Diesel,1st,"8,61,999"
Maruti Dzire LXI,Chandigarh,2020,800,Petrol,1st,"5,96,899"
Maruti Alto LXI,Chandigarh,2010,"14,455",Petrol,1st,"1,78,299"
Maruti Alto 800 LXI,Chandigarh,2017,"9,527",Petrol,1st,"2,88,999"
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Chandigarh,2017,"15,673",Petrol,1st,"4,35,699"
Chevrolet Sail 1.3 LS ABS,Chandigarh,2013,"49,094",Diesel,1st,"1,73,099"
Maruti Alto K10 LXI,Chandigarh,2017,"32,669",Petrol,1st,"2,71,499"
Maruti Baleno DELTA 1.2 K12,Chandigarh,2019,"5,631",Petrol,1st,"5,87,999"
Maruti Wagon R 1.0 LXI,Chandigarh,2012,"39,131",Petrol,1st,"2,21,299"
Maruti Swift VXI,Chandigarh,2015,"56,548",Petrol,1st,"3,73,099"
Maruti Alto 800 LXI,Chandigarh,2013,"64,338",Petrol,1st,"1,89,499"
Skoda Fabia AMBIENTE 1.2 MPI,Chandigarh,2011,"50,501",Petrol,1st,"1,96,899"
Maruti Alto K10 VXI,Chandigarh,2012,"63,678",Petrol,1st,"2,04,999"
Hyundai i20 ASTA 1.2,Chandigarh,2011,"61,798",Petrol,2nd,"2,33,299"
Maruti Swift VXI,Chandigarh,2015,"73,115",Petrol,1st,"3,91,999"
Maruti Ritz LDI,Chandigarh,2012,"84,084",Diesel,2nd,"1,93,399"
Mahindra XUV500 W8 FWD,Chandigarh,2014,"64,950",Diesel,2nd,"5,62,199"
Maruti SX4 VXI,Chandigarh,2008,"76,195",Petrol,1st,"1,99,799"
Maruti Vitara Brezza ZDI,Chandigarh,2016,"54,460",Diesel,1st,"7,08,599"
Honda City ZX GXI,Chandigarh,2008,"1,02,509",Petrol,1st,"1,62,199"
Maruti Baleno ALPHA DDIS 190,Chandigarh,2017,"76,217",Diesel,2nd,"5,36,999"
Hyundai Creta 1.6 SX (O) CRDI,Chandigarh,2015,"24,325",Diesel,1st,"9,67,299"
Maruti Swift VXI,Chandigarh,2009,"96,354",Petrol,2nd,"2,24,499"
Maruti Ritz VXI GENUS,Chandigarh,2010,"1,08,338",Petrol,1st,"2,22,599"
Honda City S MT PETROL,Chandigarh,2011,"1,36,865",Petrol,1st,"3,11,399"
Hyundai Eon ERA PLUS,Chandigarh,2013,"1,13,870",Petrol,1st,"2,36,699"
Skoda Yeti AMBITION 2.0 TDI 4X2,Chandigarh,2012,"1,43,322",Diesel,1st,"3,15,599"
Maruti Swift Dzire LDI BS IV,Chandigarh,2014,"1,06,923",Diesel,2nd,"3,02,799"
Maruti Swift VDI,Chandigarh,2014,"1,32,904",Diesel,1st,"3,04,599"
Hyundai Creta 1.6 SX CRDI,Chandigarh,2015,"1,26,315",Diesel,1st,"7,04,199"
Mahindra Quanto C2,Chandigarh,2013,"50,181",Diesel,1st,"2,52,999"
Maruti Alto K10 VXI,Chandigarh,2011,"11,886",Petrol,1st,"2,14,099"
Maruti Swift Dzire VDI BS IV,Chandigarh,2012,"19,010",Diesel,1st,"3,60,699"
Renault Kwid RXT,Chandigarh,2016,"14,463",Petrol,1st,"2,63,499"
Maruti Alto 800 LXI,Chandigarh,2018,"10,123",Petrol,1st,"2,83,199"
Maruti Alto LXI,Chandigarh,2011,"13,966",Petrol,1st,"1,65,999"
Maruti Swift Dzire VDI ABS,Chandigarh,2015,"26,090",Diesel,1st,"4,56,299"
Maruti Swift Dzire VXI 1.2 BS IV,Chandigarh,2012,"17,218",Petrol,1st,"3,67,199"
Hyundai Eon D LITE PLUS,Chandigarh,2012,"21,998",Petrol,1st,"1,98,999"
Maruti Alto K10 VXI,Chandigarh,2013,"36,750",Petrol,1st,"2,31,599"
Hyundai i20 MAGNA O 1.2,Chandigarh,2011,"44,007",Petrol,1st,"2,58,999"
Maruti Swift Dzire VXI 1.2 BS IV,Chandigarh,2012,"10,150",Petrol,1st,"3,51,799"
Volkswagen Vento HIGHLINE PETROL AT,Chandigarh,2011,"46,475",Petrol,3rd,"2,82,999"
Maruti Alto K10 LXI CNG (O),Chandigarh,2019,"10,938",Petrol + CNG,1st,"3,78,699"
Maruti Swift ZDI,Chandigarh,2013,"24,022",Diesel,1st,"4,19,199"
Maruti Swift ZXI,Chandigarh,2012,"15,538",Petrol,1st,"4,57,899"
Maruti Swift VDI,Chandigarh,2013,"11,019",Diesel,1st,"3,87,199"
Hyundai Eon ERA PLUS,Chandigarh,2014,"44,012",Petrol,1st,"2,09,999"
Hyundai Eon ERA PLUS,Chandigarh,2016,"14,776",Petrol,1st,"2,71,599"
Hyundai Santro Xing GL PLUS,Chandigarh,2013,"43,540",Petrol,1st,"2,31,899"
Maruti Swift LXI,Chandigarh,2012,"40,551",Petrol,1st,"3,17,599"
Volkswagen Polo HIGHLINE1.2L PETROL,Chandigarh,2013,"38,905",Petrol,1st,"3,09,999"
Maruti Wagon R 1.0 VXI,Chandigarh,2011,"66,014",Petrol,1st,"1,71,999"
Chevrolet Cruze LT,Chandigarh,2012,"27,540",Diesel,1st,"3,52,299"
Maruti A Star LXI,Chandigarh,2011,"53,953",Petrol,1st,"1,90,799"
Hyundai i10 MAGNA 1.2 KAPPA2,Chandigarh,2012,"34,236",Petrol,2nd,"2,51,699"
Maruti Alto 800 LXI,Chandigarh,2014,"31,745",Petrol,1st,"2,62,999"
Hyundai Eon ERA PLUS,Chandigarh,2015,"22,781",Petrol,2nd,"2,34,799"
Hyundai Grand i10 SPORTS 1.2 VTVT,Chandigarh,2017,"23,402",Petrol,1st,"4,55,899"
Renault Kwid RXL,Chandigarh,2016,"20,114",Petrol,1st,"2,84,999"
Maruti Wagon R 1.0 VXI,Chandigarh,2014,"29,007",Petrol,1st,"2,87,799"
Maruti Baleno DELTA 1.2 K12,Chandigarh,2020,"3,920",Petrol,1st,"6,38,599"
Maruti Swift VDI,Chandigarh,2013,"39,124",Diesel,1st,"3,07,199"
Renault Kwid RXL1.0 EASY-R AT,Chandigarh,2017,"32,258",Petrol,1st,"2,94,599"
Maruti Alto 800 VXI,Chandigarh,2017,"12,676",Petrol,2nd,"2,77,899"
Maruti Alto 800 LXI,Chandigarh,2013,"39,052",Petrol,2nd,"2,18,399"
Maruti Wagon R 1.0 VXI,Chandigarh,2011,"46,102",Petrol,1st,"2,42,699"
Maruti Baleno DELTA 1.2 K12,Chandigarh,2016,"35,013",Petrol,1st,"4,65,799"
Maruti Wagon R 1.0 LXI,Chandigarh,2012,"35,039",Petrol,2nd,"2,40,199"
Renault Kwid RXT Opt,Chandigarh,2015,"23,757",Petrol,1st,"1,98,699"
Maruti Swift Dzire VXI,Chandigarh,2010,"43,284",Petrol,2nd,"2,60,499"
Honda Jazz 1.2 BASE I VTEC,Chandigarh,2011,"62,664",Petrol,3rd,"2,35,999"
Hyundai Verna FLUIDIC 1.6 SX CRDI,Chandigarh,2012,"52,369",Diesel,1st,"3,72,899"
