,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
1215,Volkswagen Vento COMFORTLINE DIESEL,Mumbai,2013,"1,20,100",Diesel,1st,"4,26,399"
1216,Toyota Fortuner 3.0 MT 4X2,Mumbai,2015,"2,76,496",Diesel,1st,"13,53,999"
1217,Maruti Ertiga VDI SHVS,Mumbai,2018,"1,19,308",Diesel,1st,"7,74,199"
1218,Skoda Octavia ELEGANCE 1.8 TSI AT,Mumbai,2014,"1,58,960",Petrol,1st,"7,58,699"
1219,BMW X1 SDRIVE 20D,Mumbai,2011,"1,66,437",Diesel,1st,"7,52,899"
1220,Tata Safari Storme 2.2 VX 4X2,Mumbai,2016,"1,50,831",Diesel,1st,"6,27,899"
1221,Toyota Fortuner 3.0 AT 4X2,Mumbai,2012,"1,72,356",Diesel,3rd,"10,14,399"
1222,Maruti Swift Dzire VDI BS IV,Mumbai,2014,"1,06,190",Diesel,1st,"4,70,499"
1223,Maruti Wagon R 1.0 LXI CNG,Mumbai,2015,"22,799",Petrol + CNG,1st,"3,56,799"
1224,Hyundai i20 MAGNA O 1.2,Mumbai,2012,"37,709",Petrol,2nd,"3,33,999"
1225,Toyota Corolla Altis 1.8 G,Mumbai,2008,"38,192",Petrol,3rd,"2,27,399"
1226,Maruti Swift Dzire VXI 1.2 BS IV,Mumbai,2016,"23,165",Petrol,1st,"5,18,099"
1227,Jeep Compass LIMITED (O) 2.0,Mumbai,2017,"9,721",Diesel,1st,"15,60,399"
1228,Maruti Swift VXI,Mumbai,2013,"62,532",Petrol,1st,"4,03,199"
1229,Honda City VX MT PETROL,Mumbai,2017,"18,494",Petrol,1st,"8,18,999"
1230,Maruti Baleno ALPHA 1.2 K12,Mumbai,2016,"61,456",Petrol,1st,"4,83,199"
1231,Hyundai Creta 1.6 SX CRDI,Mumbai,2018,"16,918",Diesel,1st,"11,00,099"
1232,Honda Jazz 1.2 SELECT I VTEC,Mumbai,2011,"1,20,872",Petrol,1st,"2,86,799"
1233,Hyundai i20 SPORTZ 1.2 O,Mumbai,2011,"43,124",Petrol,1st,"3,32,099"
1234,Hyundai i10 MAGNA 1.2 KAPPA2,Mumbai,2011,"41,577",Petrol,1st,"2,53,199"
1235,Maruti Baleno DELTA 1.2 K12,Mumbai,2016,"10,229",Petrol,1st,"5,40,699"
1236,Hyundai i20 MAGNA O 1.2,Mumbai,2010,"43,369",Petrol,1st,"2,45,699"
1237,Maruti Celerio VXI AMT,Mumbai,2015,"18,492",Petrol,2nd,"3,60,399"
1238,Hyundai i10 MAGNA 1.2 KAPPA2,Mumbai,2012,"63,995",Petrol,1st,"2,31,799"
1239,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,Mumbai,2015,"54,283",Petrol,1st,"3,89,699"
1240,Maruti Wagon R 1.0 VXI,Mumbai,2017,"11,077",Petrol,1st,"3,89,299"
1241,Maruti Wagon R 1.0 VXI,Mumbai,2014,"26,494",Petrol,1st,"3,40,999"
1242,Hyundai Getz Prime 1.1 GVS,Mumbai,2009,"69,959",Petrol,2nd,"1,35,999"
1243,Hyundai i20 Active 1.2 S,Mumbai,2016,"41,282",Petrol,1st,"5,07,299"
1244,Maruti Alto 800 LXI,Mumbai,2012,"68,344",Petrol,1st,"1,97,299"
1245,Maruti Alto 800 LXI,Mumbai,2014,"55,269",Petrol,1st,"2,30,099"
1246,Maruti Ciaz VXI PLUS,Mumbai,2015,"48,551",Petrol,1st,"5,51,399"
1247,Hyundai New Elantra 1.6 SX AT O,Mumbai,2017,"68,830",Diesel,1st,"11,23,899"
1248,Maruti Swift Dzire ZDI,Mumbai,2013,"69,157",Diesel,1st,"4,75,699"
1249,Toyota Etios GD,Mumbai,2013,"74,221",Diesel,1st,"3,87,499"
1250,Mercedes Benz C Class C 220 CDI CLASSIC,Mumbai,2012,"45,939",Diesel,3rd,"8,55,499"
1251,Skoda Rapid 1.6 TDI MT AMBITION PLUS,Mumbai,2014,"93,514",Diesel,2nd,"3,84,799"
1252,Mahindra TUV300 T8,Mumbai,2016,"61,131",Diesel,1st,"6,38,799"
1253,Hyundai Eon ERA PLUS,Mumbai,2013,"83,661",Petrol,1st,"2,07,799"
1254,Hyundai i10 SPORTZ 1.2 KAPPA2,Mumbai,2011,"99,820",Petrol,1st,"2,28,799"
1255,Maruti Ertiga VDI SHVS,Mumbai,2018,"52,554",Diesel,1st,"8,65,799"
1256,Skoda Rapid ELEGANCE 1.6 TDI MT,Mumbai,2012,"1,23,831",Diesel,1st,"3,25,499"
1257,Hyundai Creta 1.6 SX CRDI,Mumbai,2015,"83,869",Diesel,1st,"8,03,199"
1258,Maruti Swift Dzire VDI BS IV,Mumbai,2010,"1,97,455",Diesel,1st,"2,63,499"
1259,Maruti Swift VXI,Mumbai,2014,"1,13,481",Petrol,1st,"3,61,799"
1260,Volkswagen Vento HIGHLINE TDI AT,Mumbai,2016,"1,23,078",Diesel,1st,"6,06,399"
1261,Maruti Ciaz ZXI,Mumbai,2015,"54,699",Petrol,1st,"5,19,999"
1262,Maruti S Cross ZETA 1.3,Mumbai,2017,"42,045",Diesel,1st,"6,59,699"
1263,Maruti Dzire ZXI,Mumbai,2017,"37,024",Petrol,1st,"5,99,199"
1264,Mahindra TUV300 T8,Mumbai,2017,"53,679",Diesel,1st,"6,61,999"
1265,Renault Duster 85 PS RXL OPT,Mumbai,2012,"1,04,938",Diesel,3rd,"3,73,599"
1266,Maruti Swift Dzire VXI 1.2 BS IV,Mumbai,2011,"1,19,535",Petrol,1st,"2,73,899"
1267,Maruti Ertiga ZDI PLUS SHVS,Mumbai,2019,"20,385",Diesel,1st,"11,29,799"
1268,Skoda Rapid 1.5 Elegance TDI MT,Mumbai,2016,"64,211",Diesel,1st,"5,28,799"
1269,Maruti Wagon R 1.0 LXI CNG,Mumbai,2014,"1,50,431",Petrol + CNG,1st,"2,83,599"
1270,Maruti Ritz LXI,Mumbai,2011,"24,635",Petrol,1st,"1,90,699"
1271,Renault Kwid RXT Opt,Mumbai,2019,"1,222",Petrol,1st,"3,85,799"
1272,Hyundai i20 SPORTZ 1.2 VTVT,Mumbai,2013,"18,620",Petrol,1st,"4,06,299"
1273,Ford Figo 1.2 ZXI DURATEC,Mumbai,2014,"35,703",Petrol,3rd,"2,09,399"
1274,Hyundai i20 SPORTZ 1.2 O,Mumbai,2010,"47,807",Petrol,1st,"2,66,599"
1275,Honda City CORPORATE MT,Mumbai,2012,"34,202",Petrol,1st,"3,73,999"
1276,Toyota Etios V,Mumbai,2011,"64,317",Petrol,1st,"2,91,399"
1277,Maruti Alto 800 VXI,Mumbai,2019,"5,494",Petrol,1st,"2,91,199"
1278,Maruti Wagon R 1.0 LXI CNG,Mumbai,2015,"43,781",Petrol + CNG,1st,"3,08,699"
