,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
64,Hyundai Grand i10 ASTA 1.2 (O) VTVT,Pune,2016,"46,612",Petrol,1st,"4,63,399"
65,Honda City V MT PETROL,Pune,2012,"82,525",Petrol,2nd,"3,79,699"
66,Renault Kwid CLIMBER 1.0 AT,Pune,2019,"10,702",Petrol,1st,"4,21,099"
67,Maruti Baleno DELTA 1.2 K12,Pune,2019,"14,994",Petrol,1st,"6,53,399"
68,Hyundai Elite i20 SPORTZ 1.2,Pune,2016,"25,868",Petrol,1st,"5,42,799"
69,Hyundai i20 SPORTZ 1.2 O,Pune,2010,"68,321",Petrol,1st,"2,48,699"
70,Maruti Dzire VXI,Pune,2018,"8,604",Petrol,1st,"6,36,099"
71,Maruti Alto LXI,Pune,2012,"70,555",Petrol,1st,"1,80,999"
72,Hyundai Elite i20 ASTA 1.2 (O),Pune,2017,"25,483",Petrol,1st,"5,74,899"
73,Honda Brio 1.2 S MT I VTEC,Pune,2015,"68,406",Petrol,2nd,"3,26,399"
74,Tata Tiago XZ 1.2 REVOTRON,Pune,2017,"18,366",Petrol,1st,"4,08,199"
75,Hyundai Grand i10 ASTA 1.2 AT VTVT,Pune,2015,"40,737",Petrol,1st,"4,27,599"
76,Hyundai Santro Xing GLS,Pune,2009,"69,797",Petrol,2nd,"1,61,499"
77,Renault Kwid RXT Opt,Pune,2016,"45,732",Petrol,1st,"2,92,499"
78,Hyundai Elite i20 SPORTZ 1.2,Pune,2015,"51,187",Petrol,3rd,"4,18,299"
79,Maruti Alto LXI,Pune,2009,"39,622",Petrol,1st,"1,57,699"
80,Maruti Swift ZDI,Pune,2014,"27,388",Diesel,1st,"5,17,899"
81,Maruti Baleno DELTA 1.2 K12,Pune,2019,"19,285",Petrol,2nd,"6,35,299"
82,Hyundai Santro Xing GLS,Pune,2009,"47,439",Petrol,1st,"1,90,199"
83,Hyundai i10 MAGNA 1.2,Pune,2010,"60,563",Petrol,2nd,"2,20,199"
84,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Pune,2015,"58,570",Petrol,1st,"3,76,299"
85,Volkswagen Polo GT TSI 1.2 PETROL AT,Pune,2014,"49,253",Petrol,1st,"4,91,699"
86,Volkswagen Vento COMFORTLINE PETROL,Pune,2018,"22,247",Petrol,1st,"6,84,299"
87,Honda Jazz VX  1.2,Pune,2016,"46,051",Petrol,2nd,"5,30,999"
88,Maruti Baleno DELTA 1.2 K12,Pune,2016,"62,591",Petrol,2nd,"4,72,999"
89,Hyundai Elite i20 SPORTZ 1.2,Pune,2017,"40,459",Petrol,1st,"5,85,499"
90,Hyundai Santro Xing GLS,Pune,2008,"29,650",Petrol,2nd,"1,48,399"
91,Hyundai Santro Xing GLS,Pune,2008,"72,670",Petrol,1st,"1,83,699"
92,Maruti Ritz VDI,Pune,2010,"82,265",Diesel,1st,"2,26,999"
93,Hyundai i20 SPORTZ 1.2 VTVT,Pune,2012,"88,590",Petrol,2nd,"3,26,999"
94,Maruti Baleno ZETA 1.2 K12 AMT,Pune,2016,"61,536",Petrol,1st,"5,30,999"
95,Toyota Corolla Altis D 4D G,Pune,2011,"78,074",Diesel,2nd,"4,03,899"
96,Maruti Wagon R 1.0 LXI,Pune,2015,"57,827",Petrol,1st,"2,96,599"
97,Volkswagen Vento HIGHLINE PETROL AT,Pune,2011,"82,508",Petrol,3rd,"2,77,699"
98,Maruti Swift VDI,Pune,2011,"80,805",Diesel,2nd,"3,69,899"
99,Volkswagen Ameo COMFORTLINE 1.2,Pune,2016,"52,907",Petrol,1st,"3,72,199"
100,Hyundai i10 ERA,Pune,2008,"1,21,046",Petrol,1st,"1,49,599"
101,Volkswagen Polo COMFORTLINE 1.2L PETROL,Pune,2016,"60,386",Petrol,2nd,"3,87,399"
102,Maruti Vitara Brezza LDI,Pune,2019,"24,435",Diesel,1st,"7,59,499"
103,Maruti Wagon R 1.0 VXI,Pune,2010,"71,429",Petrol + CNG,1st,"2,83,099"
104,Maruti Swift Dzire VDI BS IV,Pune,2013,"74,265",Diesel,1st,"4,41,399"
105,Honda City S MT PETROL,Pune,2010,"88,576",Petrol,2nd,"3,36,199"
106,Maruti Celerio VXI,Pune,2014,"66,904",Petrol,1st,"3,57,499"
107,Hyundai i20 ASTA 1.2,Pune,2010,"78,845",Petrol,2nd,"2,92,399"
108,Maruti New  Wagon-R VXI (O)1.OL AGS,Pune,2019,"38,522",Petrol,1st,"5,19,799"
109,Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,Pune,2016,"29,440",Petrol,1st,"5,25,899"
110,Hyundai i20 SPORTZ 1.2 O,Pune,2011,"84,008",Petrol,2nd,"3,02,099"
111,Maruti Dzire VDI,Pune,2017,"15,738",Diesel,1st,"6,97,799"
112,Volkswagen Polo HIGHLINE1.2L PETROL,Pune,2014,"67,087",Petrol,1st,"4,45,399"
113,Hyundai Elite i20 1.2  ASTA (O) CVT,Pune,2019,"6,388",Petrol,1st,"9,61,799"
114,Honda WR-V 1.2 i-VTEC VX MT,Pune,2017,"49,525",Petrol,1st,"6,52,099"
115,Maruti Ertiga ZDI PLUS SHVS,Pune,2017,"20,540",Diesel,1st,"9,03,799"
116,Jeep Compass 2.0 SPORT,Pune,2018,"13,960",Diesel,1st,"14,34,299"
117,Honda WR-V 1.2 i-VTEC VX MT,Pune,2018,"17,665",Petrol,1st,"7,41,799"
118,Maruti Swift VDI,Pune,2008,"72,604",Diesel,1st,"2,23,099"
119,Ford Figo 1.2 LXI DURATEC,Pune,2011,"94,896",Petrol + CNG,1st,"2,03,299"
120,Maruti Vitara Brezza ZDI PLUS,Pune,2018,"16,351",Diesel,1st,"8,68,399"
121,Honda City VX MT PETROL,Pune,2017,"18,494",Petrol,1st,"8,18,999"
122,Maruti Swift VXI,Pune,2012,"95,783",Petrol,1st,"3,59,199"
123,Honda City S MT PETROL,Pune,2010,"86,174",Petrol,1st,"3,67,399"
124,Volkswagen Polo HIGHLINE1.2L PETROL,Pune,2016,"53,926",Petrol,1st,"4,49,599"
125,Toyota Corolla Altis 1.8 G,Pune,2008,"81,426",Petrol,3rd,"2,11,199"
126,Maruti Vitara Brezza VDI DUAL TONE,Pune,2019,"4,781",Diesel,1st,"8,41,299"
127,Maruti Swift VXI,Pune,2012,"80,447",Petrol,1st,"3,84,599"
128,Volkswagen Polo HIGHLINE1.2L PETROL,Pune,2016,"56,769",Petrol,2nd,"4,57,499"
129,Maruti Ertiga VDI SHVS,Pune,2017,"51,203",Diesel,1st,"7,30,199"
130,Maruti S Cross ALPHA SHVS,Pune,2018,"40,423",Diesel,1st,"9,92,099"
131,Mercedes Benz CLA Class CLA 200 CDI SPORT,Pune,2015,"73,412",Diesel,2nd,"16,69,499"
132,Hyundai i20 MAGNA 1.4 CRDI,Pune,2012,"93,076",Diesel,1st,"3,45,499"
133,Maruti Swift VXI,Pune,2012,"1,00,481",Petrol,2nd,"3,09,699"
134,Volkswagen Vento HIGHLINE 1.2 TSI AT,Pune,2016,"68,067",Petrol,1st,"6,40,999"
135,Hyundai i20 SPORTZ 1.2 VTVT,Pune,2013,"69,663",Petrol,1st,"3,83,999"
136,Maruti S Cross ZETA 1.3,Pune,2016,"68,665",Diesel,1st,"7,24,199"
137,Tata Hexa Varicor 400 XTA,Pune,2018,"62,957",Diesel,1st,"12,76,099"
138,Maruti Dzire VDI,Pune,2017,"60,178",Diesel,1st,"6,50,499"
139,Maruti Ciaz ZETA 1.4 VVT AMT,Pune,2018,"30,699",Petrol,1st,"8,22,299"
140,Honda Jazz 1.2 SV MT,Pune,2017,"43,496",Petrol,2nd,"5,35,099"
141,Hyundai i10 MAGNA 1.2,Pune,2010,"1,05,844",Petrol,2nd,"2,17,899"
142,Maruti SX4 VXI,Pune,2011,"1,01,043",Petrol,2nd,"2,09,999"
143,Hyundai VENUE 1.0 TURBO GDI SX+ AT,Pune,2019,"10,468",Petrol,1st,"10,45,199"
144,Volkswagen Vento HIGHLINE PETROL,Pune,2015,"73,613",Petrol,1st,"4,66,399"
145,Hyundai i20 MAGNA O 1.2,Pune,2011,"1,19,260",Petrol,2nd,"2,52,999"
146,Maruti Alto K10 VXI,Pune,2013,"76,864",Petrol,1st,"2,05,599"
147,Tata Harrier XZ 2.0L Kryotec,Pune,2019,"20,053",Diesel,2nd,"14,42,499"
148,Ford Ecosport 1.5 TITANIUMTDCI OPT,Pune,2014,"1,02,818",Diesel,1st,"4,99,899"
