,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
66,Maruti Ritz ZXI,Delhi,2014,"58,664",Petrol,1st,"3,30,999"
67,Maruti Alto LXI,Delhi,2009,"57,864",Petrol,1st,"1,38,499"
68,Honda Amaze 1.2 SMT I VTEC,Delhi,2015,"62,045",Petrol,1st,"4,38,599"
69,Maruti Swift Dzire ZXI 1.2 BS IV,Delhi,2015,"62,674",Petrol,2nd,"4,34,899"
70,Maruti Ritz VDI,Delhi,2015,"64,475",Diesel,1st,"2,94,699"
71,Honda Brio 1.2 VX AT I VTEC,Delhi,2015,"22,774",Petrol,1st,"4,20,599"
72,Volkswagen Polo HIGHLINE1.2L PETROL,Delhi,2012,"66,271",Petrol,2nd,"3,45,799"
73,Maruti Swift VDI ABS,Delhi,2015,"63,435",Diesel,1st,"4,15,199"
74,Maruti Swift LXI,Delhi,2013,"43,265",Petrol,3rd,"3,42,999"
75,Maruti Swift LXI,Delhi,2014,"61,924",Petrol,1st,"4,25,299"
76,Maruti Alto K10 VXI,Delhi,2010,"63,843",Petrol,3rd,"1,73,799"
77,Maruti Alto K10 VXI,Delhi,2014,"51,228",Petrol,1st,"2,70,399"
78,Maruti A Star LXI,Delhi,2009,"30,403",Petrol,1st,"1,77,199"
79,Maruti Wagon R 1.0 LXI,Delhi,2018,"69,958",Petrol,1st,"3,69,899"
80,Ford Ecosport 1.5TITANIUM TDCI,Delhi,2019,"11,563",Diesel,2nd,"8,62,999"
81,Maruti Swift LXI,Delhi,2013,"61,470",Petrol,1st,"3,28,199"
82,Maruti Swift VDI ABS,Delhi,2015,"66,476",Diesel,1st,"4,06,099"
83,Hyundai Grand i10 SPORTS 1.2 VTVT,Delhi,2017,"65,194",Petrol,1st,"4,33,199"
84,Maruti Alto 800 LXI,Delhi,2017,"65,151",Petrol,1st,"2,96,399"
85,Hyundai i20 MAGNA 1.2 VTVT,Delhi,2009,"45,449",Petrol,2nd,"2,38,499"
86,Maruti Alto LXI,Delhi,2008,"62,613",Petrol,1st,"1,41,099"
87,Maruti Swift VXI,Delhi,2011,"64,812",Petrol,2nd,"2,98,099"
88,Maruti Swift Dzire VXI,Delhi,2010,"61,308",Petrol,1st,"2,87,099"
89,Maruti Ciaz DELTA 1.4 VVT AT,Delhi,2018,"20,258",Petrol,1st,"7,63,699"
90,Tata Zest XT QUADRAJET 90PS,Delhi,2014,"65,796",Diesel,2nd,"3,01,899"
91,Maruti Alto 800 VXI,Delhi,2014,"5,383",Petrol,1st,"2,79,899"
92,Maruti Swift ZXI,Delhi,2013,"59,872",Petrol,2nd,"3,91,799"
93,Honda Jazz 1.2 BASE I VTEC,Delhi,2009,"75,136",Petrol,2nd,"2,13,299"
94,Maruti Swift Dzire VDI BS IV,Delhi,2015,"69,039",Diesel,1st,"4,25,099"
95,Maruti Swift VDI,Delhi,2014,"64,031",Diesel,1st,"4,05,699"
96,Maruti Zen Estilo VXI,Delhi,2010,"50,189",Petrol,2nd,"1,86,999"
97,Honda Amaze 1.5 VXMT I DTEC,Delhi,2013,"63,748",Diesel,3rd,"2,83,599"
98,Maruti Swift LXI 1.3,Delhi,2008,"76,422",Petrol,2nd,"1,97,799"
