,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
61,Volkswagen Ameo COMFORTLINE 1.2,Chandigarh,2016,"66,204",Petrol,2nd,"3,62,599"
62,Hyundai Verna FLUIDIC 1.6 CRDI S,Chandigarh,2015,"63,987",Diesel,2nd,"5,33,999"
63,Hyundai Creta 1.4 E PLUS CRDI,Chandigarh,2018,"43,362",Diesel,1st,"10,28,399"
64,Maruti Vitara Brezza VDI,Chandigarh,2018,"38,325",Diesel,1st,"7,40,799"
65,Ford Ecosport 1.5 TREND TDCI,Chandigarh,2013,"66,940",Diesel,1st,"3,66,299"
66,Renault Duster 85 PS RXL OPT,Chandigarh,2015,"80,599",Diesel,1st,"4,28,499"
67,Hyundai i10 SPORTZ 1.2,Chandigarh,2008,"69,766",Petrol,1st,"1,59,699"
68,Honda City VX MT DIESEL,Chandigarh,2014,"74,867",Diesel,2nd,"4,90,799"
69,Hyundai Elite i20 MAGNA 1.4 CRDI,Chandigarh,2015,"78,343",Diesel,1st,"4,14,099"
70,Toyota YARIS G CVT,Chandigarh,2019,"11,540",Petrol,1st,"8,98,199"
71,Hyundai Verna FLUIDIC 1.6 SX CRDI OPT,Chandigarh,2012,"89,586",Diesel,1st,"4,24,399"
72,Ford Ecosport 1.5TITANIUM TDCI,Chandigarh,2014,"1,24,540",Diesel,1st,"4,22,999"
73,Honda Amaze 1.5 SMT I DTEC,Chandigarh,2014,"71,704",Diesel,1st,"3,02,999"
74,Hyundai Creta 1.6 CRDI SX PLUS AUTO,Chandigarh,2016,"81,719",Diesel,1st,"9,78,399"
75,Hyundai Verna FLUIDIC 1.6 SX CRDI,Chandigarh,2012,"1,00,752",Diesel,1st,"3,49,499"
76,Hyundai Verna 1.4 CRDi EX MT,Chandigarh,2018,"57,917",Diesel,1st,"7,88,399"
77,Maruti Swift VDI,Chandigarh,2013,"72,286",Diesel,1st,"4,33,899"
78,Maruti Swift VDI,Chandigarh,2012,"1,13,073",Diesel,1st,"2,66,999"
79,Maruti Alto K10 VXI,Chandigarh,2013,"1,17,497",Petrol,1st,"2,22,499"
80,Maruti Vitara Brezza VDI,Chandigarh,2019,"38,213",Diesel,1st,"7,38,199"
81,Hyundai Creta 1.6 SX CRDI,Chandigarh,2017,"90,077",Diesel,1st,"8,22,399"
82,Maruti Alto LXI,Chandigarh,2007,"59,676",Petrol,1st,"1,01,499"
83,Toyota Corolla Altis D 4D J,Chandigarh,2014,"1,03,033",Diesel,1st,"6,83,499"
84,Volkswagen Polo HIGHLINE1.5L DIESEL,Chandigarh,2015,"1,41,160",Diesel,1st,"3,50,299"
85,Hyundai Elite i20 SPORTZ 1.4,Chandigarh,2018,"1,01,178",Diesel,1st,"5,48,599"
86,Nissan Sunny XL DIESEL,Chandigarh,2012,"1,13,365",Diesel,2nd,"2,77,599"
87,Mahindra XUV500 W10,Chandigarh,2015,"92,400",Diesel,2nd,"7,83,699"
88,Audi A4 2.0 TDI PREMIUM PLUS,Chandigarh,2012,"90,722",Diesel,2nd,"9,10,999"
89,Toyota Corolla Altis D 4D JS,Chandigarh,2013,"1,11,861",Diesel,1st,"4,26,999"
90,Mercedes Benz E Class E 250 CDI CLASSIC,Chandigarh,2014,"93,852",Diesel,1st,"14,20,099"
91,Toyota Fortuner 3.0 MT 4X2,Chandigarh,2016,"1,29,309",Diesel,1st,"16,37,599"
92,Toyota Fortuner 3.0 AT 4X2,Chandigarh,2012,"1,21,632",Diesel,1st,"11,29,899"
93,Honda City S MT PETROL,Chandigarh,2009,"99,836",Petrol,1st,"2,22,899"
94,Hyundai Grand i10 SPORTZ (O) 1.2 AT VTVT,Chandigarh,2017,"25,826",Petrol,1st,"4,67,199"
95,Maruti Swift Dzire VXI 1.2 BS IV,Chandigarh,2014,"64,810",Petrol,3rd,"3,39,699"
96,Maruti Vitara Brezza ZDI PLUS,Chandigarh,2016,"89,521",Diesel,1st,"6,42,399"
97,Maruti Alto 800 LXI,Chandigarh,2017,"11,208",Petrol,1st,"2,80,299"
98,Maruti Alto LXI,Chandigarh,2020,"6,650",Petrol,1st,"3,52,699"
99,Maruti Alto LXI,Chandigarh,2020,894,Petrol,1st,"3,60,299"
100,Maruti New  Wagon-R VXI 1.2L,Chandigarh,2019,"16,935",Petrol,1st,"4,46,399"
101,Maruti Swift Dzire VDI BS IV,Chandigarh,2014,"57,658",Diesel,1st,"4,56,799"
102,Hyundai NEW SANTRO SPORTZ 1.1,Chandigarh,2019,"7,416",Petrol,1st,"4,96,599"
103,Maruti Swift VXI,Chandigarh,2017,"33,910",Petrol,2nd,"5,12,399"
104,Maruti Swift Dzire VDI BS IV,Chandigarh,2014,"62,583",Diesel,2nd,"4,51,199"
105,Hyundai VENUE 1.0L Turbo GDI SX MT,Chandigarh,2019,"8,594",Petrol,1st,"8,01,199"
106,Toyota Innova Crysta 2.8 GX AT 7 STR,Chandigarh,2017,"48,989",Diesel,1st,"13,66,899"
107,Honda City V MT DIESEL,Chandigarh,2018,"39,450",Diesel,1st,"8,29,099"
108,Maruti Swift VXI,Chandigarh,2017,"59,285",Petrol,1st,"5,34,699"
109,Mahindra XUV500 W8 FWD,Chandigarh,2014,"99,551",Diesel,3rd,"6,52,799"
110,Ford Ecosport 1.5 TREND TDCI,Chandigarh,2018,"92,621",Diesel,1st,"6,56,999"
111,Maruti Vitara Brezza VDI OPT,Chandigarh,2016,"1,30,971",Diesel,1st,"5,27,699"
112,Mahindra Bolero Power+ ZLX,Chandigarh,2018,"1,56,550",Diesel,1st,"6,50,699"
113,Maruti Ertiga VDI SHVS,Chandigarh,2016,"1,71,846",Diesel,1st,"5,87,699"
114,Renault Kwid RXL,Chandigarh,2019,"16,416",Petrol,1st,"3,22,399"
115,Hyundai Grand i10 Sportz(O) 1.2 MT,Chandigarh,2017,"17,601",Petrol,1st,"4,51,899"
116,Hyundai i20 ASTA 1.2,Chandigarh,2009,"71,361",Petrol,1st,"2,07,999"
117,Maruti Alto K10 VXI,Chandigarh,2017,"60,265",Petrol,1st,"3,05,699"
118,Toyota Etios GD,Chandigarh,2013,"93,938",Diesel,2nd,"2,31,299"
119,Maruti Dzire ZDI,Chandigarh,2017,"89,437",Diesel,1st,"6,27,099"
120,Volkswagen Ameo HIGHLINE 1.5,Chandigarh,2016,"84,113",Diesel,1st,"4,25,799"
121,Maruti Swift VDI,Chandigarh,2014,"69,551",Diesel,2nd,"4,18,099"
122,Hyundai Creta 1.6 SX PLUS DIESEL,Chandigarh,2016,"94,738",Diesel,1st,"7,46,399"
123,Maruti Alto K10 VXI,Chandigarh,2014,"92,954",Petrol,1st,"3,06,499"
124,Toyota Fortuner 3.0 AT 4X2,Chandigarh,2013,"94,598",Diesel,2nd,"11,07,499"
125,Honda Brio 1.2 S MT I VTEC,Chandigarh,2016,"40,163",Petrol,1st,"3,49,499"
126,Maruti New  Wagon-R VXI 1.0,Chandigarh,2020,"9,557",Petrol,1st,"4,72,799"
127,Hyundai Elite i20 SPORTZ 1.2,Chandigarh,2017,"50,141",Petrol,1st,"5,63,199"
128,Skoda Rapid 1.5 TDI MT STYLE,Chandigarh,2017,"65,328",Diesel,2nd,"6,32,399"
129,Toyota Innova 2.5 GX 8 STR BS IV,Chandigarh,2014,"1,62,923",Diesel,2nd,"6,96,399"
130,Maruti Alto K10 VXI,Chandigarh,2011,"20,354",Petrol,1st,"2,10,999"
131,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Chandigarh,2016,"19,017",Petrol,2nd,"3,96,399"
132,Maruti Eeco 5 STR WITH AC PLUSHTR,Chandigarh,2019,"8,454",Petrol,1st,"4,22,099"
133,Maruti Ritz VXI BS IV,Chandigarh,2014,"35,218",Petrol,1st,"2,79,399"
134,Maruti Swift LXI,Chandigarh,2014,"23,888",Petrol,1st,"4,57,899"
135,Maruti Swift VDI,Chandigarh,2012,"30,589",Diesel,1st,"3,09,799"
136,Maruti Alto K10 VXI,Chandigarh,2010,"41,190",Petrol,1st,"1,76,199"
137,Tata Tiago XZ 1.2 REVOTRON,Chandigarh,2018,"12,582",Petrol,2nd,"4,26,499"
138,Maruti Ritz VDI,Chandigarh,2012,"41,213",Diesel,1st,"2,43,899"
139,Maruti Alto LXI,Chandigarh,2010,"29,645",Petrol,1st,"1,85,299"
140,Maruti Wagon R 1.0 VXI,Chandigarh,2013,"36,501",Petrol,2nd,"2,52,399"
141,Hyundai Eon D LITE PLUS,Chandigarh,2013,"25,909",Petrol,2nd,"2,03,599"
