,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
0,Maruti Alto LXI,Ahemdabad,2020,"2,016",Petrol,1st,"3,31,499"
1,Maruti Wagon R 1.0 LXI,Ahemdabad,2014,"34,395",Petrol,2nd,"3,11,499"
2,Maruti Swift LXI,Ahemdabad,2019,"8,372",Petrol,1st,"5,38,199"
3,Hyundai Elite i20 ASTA 1.2,Ahemdabad,2015,"23,973",Petrol,1st,"5,48,099"
4,Maruti Alto LXI,Ahemdabad,2020,"3,772",Petrol,1st,"3,94,999"
5,Maruti Wagon R 1.0 LXI,Ahemdabad,2012,"20,671",Petrol,2nd,"2,69,199"
6,Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2018,"15,805",Petrol + CNG,1st,"4,18,099"
7,Hyundai i20 MAGNA O 1.2,Ahemdabad,2013,"30,045",Petrol,1st,"3,71,099"
8,Maruti Alto 800 LXI,Ahemdabad,2018,"11,798",Petrol,1st,"3,34,899"
9,Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2020,"1,999",Petrol,1st,"4,99,299"
10,Maruti Swift Dzire VXI 1.2 BS IV,Ahemdabad,2014,"29,375",Petrol,1st,"4,75,599"
11,Hyundai VENUE S MT 1.2 KAPPA,Ahemdabad,2020,"1,420",Petrol,1st,"8,41,699"
12,Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2020,"3,822",Petrol,1st,"4,52,299"
13,Maruti Alto K10 VXI,Ahemdabad,2017,"22,167",Petrol,2nd,"2,97,199"
14,Maruti Alto 800 LXI,Ahemdabad,2019,"14,436",Petrol,1st,"3,26,399"
15,Maruti Alto 800 LXI,Ahemdabad,2017,"5,800",Petrol,1st,"3,01,199"
16,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Ahemdabad,2018,"19,533",Petrol,1st,"5,20,399"
17,Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2018,"13,239",Petrol + CNG,1st,"4,38,399"
18,Maruti Wagon R 1.0 LXI,Ahemdabad,2012,"49,827",Petrol,1st,"2,32,899"
19,Maruti Alto 800 LXI,Ahemdabad,2018,"3,223",Petrol,1st,"3,35,399"
20,Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2019,"12,028",Petrol,1st,"4,81,299"
21,Maruti Alto LXI,Ahemdabad,2020,"4,736",Petrol,1st,"3,67,499"
22,Maruti Alto 800 LXI,Ahemdabad,2018,"3,237",Petrol,1st,"3,39,499"
23,Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2017,"33,559",Petrol + CNG,1st,"4,20,299"
24,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Ahemdabad,2015,"46,375",Petrol,1st,"4,17,899"
