,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
580,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Bengaluru,2015,"14,867",Petrol,1st,"4,76,899"
581,Ford Figo 1.4 TITANIUM DURATORQ,Bengaluru,2014,"55,086",Diesel,1st,"3,69,399"
582,Maruti Swift Dzire VXI Regal Limited edition,Bengaluru,2013,"22,236",Petrol,1st,"4,34,199"
583,Maruti Alto 800 LXI,Bengaluru,2013,"70,555",Petrol,2nd,"2,31,099"
584,Mahindra Kuv100 K8 D 6 STR,Bengaluru,2016,"50,066",Diesel,2nd,"4,08,499"
585,Maruti IGNIS ZETA 1.2 K12,Bengaluru,2018,"7,535",Petrol,1st,"5,53,299"
586,Maruti Baleno DELTA 1.2 K12,Bengaluru,2016,"34,615",Petrol,1st,"5,84,799"
587,Maruti Swift ZXI+ BS IV,Bengaluru,2018,"10,428",Petrol,1st,"6,67,799"
588,Maruti Swift ZXI,Bengaluru,2014,"34,483",Petrol,1st,"4,90,299"
589,Hyundai i10 ERA,Bengaluru,2008,"54,437",Petrol,1st,"2,55,399"
590,Mahindra XUV500 W8 FWD,Bengaluru,2015,"62,730",Diesel,1st,"9,27,099"
591,Maruti Dzire VXI AMT,Bengaluru,2019,"13,444",Petrol,1st,"6,83,299"
592,Mahindra E2O T2,Bengaluru,2016,"51,187",Electric,1st,"3,39,799"
593,Maruti Wagon R VXI BS III,Bengaluru,2009,"66,777",Petrol,3rd,"2,00,399"
594,Maruti Swift VXI,Bengaluru,2018,"14,695",Petrol,1st,"5,76,899"
595,Hyundai i10 SPORTZ 1.2 AT KAPPA2,Bengaluru,2013,"59,237",Petrol,1st,"3,99,999"
596,Maruti Swift Dzire VXI 1.2 BS IV,Bengaluru,2015,"59,114",Petrol,2nd,"4,82,599"
597,Mahindra MARAZZO M8 8 STR,Bengaluru,2020,"16,594",Diesel,1st,"12,22,899"
598,Maruti Eeco 5 STR WITH AC PLUSHTR,Bengaluru,2019,"2,974",Petrol,1st,"4,73,899"
599,Honda City V MT PETROL,Bengaluru,2014,"48,559",Petrol,1st,"6,08,799"
600,Hyundai New Elantra 2.0 SX (O) AT,Bengaluru,2017,"8,772",Petrol,1st,"12,14,199"
601,Maruti Baleno DELTA 1.2 K12,Bengaluru,2019,"12,583",Petrol,1st,"6,71,199"
602,Maruti Swift Dzire VXI 1.2 BS IV,Bengaluru,2014,"42,772",Petrol,1st,"5,02,099"
603,Volkswagen Jetta TRENDLINE 2.0L TDI,Bengaluru,2011,"88,446",Diesel,4th,"2,91,799"
604,Maruti OMNI E 8 STR,Bengaluru,2015,"67,455",Petrol,1st,"2,68,899"
605,Volkswagen Polo HIGHLINE1.2L PETROL,Bengaluru,2015,"51,175",Petrol,1st,"5,73,199"
606,Hyundai Verna FLUIDIC 1.6 SX VTVT,Bengaluru,2014,"60,459",Petrol,1st,"5,32,399"
607,Maruti Vitara Brezza ZDI PLUS DUAL TONE,Bengaluru,2017,"23,433",Diesel,1st,"8,81,199"
608,Maruti Swift VXI,Bengaluru,2012,"83,637",Petrol,1st,"4,09,599"
609,Maruti Baleno DELTA 1.2 K12,Bengaluru,2017,"31,833",Petrol,1st,"5,92,199"
