,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
62,Hyundai i10 MAGNA 1.2,Hyderabad,2008,"94,989",Petrol,1st,"2,40,299"
63,Maruti Alto K10 VXI,Hyderabad,2012,"58,012",Petrol,2nd,"2,68,599"
64,Maruti Alto K10 VXI,Hyderabad,2011,"73,025",Petrol,2nd,"2,11,899"
65,Maruti Wagon R 1.0 LXI CNG,Hyderabad,2011,"69,000",Petrol + CNG,2nd,"2,95,899"
66,Hyundai i10 SPORTZ 1.2 KAPPA2,Hyderabad,2011,"68,764",Petrol,2nd,"2,93,099"
67,Maruti Alto 800 LXI,Hyderabad,2018,"7,885",Petrol,1st,"3,24,499"
68,Maruti Eeco 5 STR WITH AC PLUSHTR,Hyderabad,2019,"10,025",Petrol,1st,"4,46,899"
69,Chevrolet Beat PS DIESEL,Hyderabad,2013,"49,994",Diesel,1st,"2,06,599"
70,Hyundai i10 SPORTZ 1.2 KAPPA2,Hyderabad,2012,"65,288",Petrol,1st,"3,57,399"
71,Maruti Wagon R 1.0 VXI,Hyderabad,2011,"65,981",Petrol,2nd,"3,06,999"
72,Maruti Alto LXI,Hyderabad,2012,"34,881",Petrol,1st,"2,33,299"
73,Maruti Wagon R 1.0 LXI CNG,Hyderabad,2011,"66,202",Petrol + CNG,1st,"2,84,999"
74,Maruti Wagon R 1.0 VXI,Hyderabad,2012,"46,828",Petrol,2nd,"3,03,499"
75,Maruti Alto 800 LXI,Hyderabad,2018,"20,687",Petrol,2nd,"3,32,599"
76,Hyundai Santro Xing GLS,Hyderabad,2008,"53,180",Petrol,2nd,"1,94,199"
77,Hyundai i20 SPORTZ 1.2 O,Hyderabad,2010,"63,614",Petrol,1st,"3,73,399"
78,Maruti Eeco 5 STR WITH AC PLUSHTR,Hyderabad,2019,"8,647",Petrol,1st,"4,30,199"
79,Hyundai i10 SPORTZ 1.2 AT KAPPA2,Hyderabad,2011,"70,484",Petrol,2nd,"3,23,299"
80,Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2011,"72,242",Petrol,3rd,"2,95,699"
81,Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2011,"73,867",Petrol,1st,"2,75,399"
82,Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2013,"57,200",Petrol,1st,"3,44,999"
83,Maruti Eeco 5 STR WITH AC PLUSHTR,Hyderabad,2019,"21,402",Petrol,1st,"4,49,199"
84,Tata Tiago XT 1.2 REVOTRON,Hyderabad,2018,"23,745",Petrol,1st,"4,30,299"
85,Hyundai Santro Xing GLS,Hyderabad,2008,"98,277",Petrol + LPG,1st,"1,93,799"
86,Maruti Swift Dzire VXI 1.2 BS IV,Hyderabad,2013,"58,065",Petrol,2nd,"4,38,899"
87,Maruti Alto LXI,Hyderabad,2011,"66,212",Petrol,2nd,"2,10,899"
88,Maruti Alto LXI,Hyderabad,2012,"64,304",Petrol,1st,"2,38,099"
89,Maruti Alto LXI,Hyderabad,2010,"59,344",Petrol,2nd,"1,96,399"
90,Maruti Eeco 5 STR WITH AC PLUSHTR,Hyderabad,2019,"17,802",Petrol,1st,"4,11,599"
91,Maruti Alto 800 LXI,Hyderabad,2018,"17,394",Petrol,1st,"3,22,199"
92,Hyundai Santro Xing GLS,Hyderabad,2008,"41,859",Petrol,1st,"1,91,699"
93,Maruti Alto LXI,Hyderabad,2009,"60,584",Petrol,2nd,"1,82,099"
94,Hyundai i20 MAGNA O 1.2,Hyderabad,2010,"68,124",Petrol,2nd,"3,42,499"
95,Maruti Alto LXI,Hyderabad,2009,"54,950",Petrol,1st,"1,73,799"
96,Maruti Zen Estilo LXI,Hyderabad,2009,"40,517",Petrol,2nd,"2,43,599"
97,Maruti Alto K10 VXI AMT,Hyderabad,2016,"47,897",Petrol,2nd,"3,36,099"
98,Datsun Go Plus T,Hyderabad,2016,"48,716",Petrol,1st,"2,89,699"
99,Hyundai Santro Xing GLS LPG,Hyderabad,2010,"73,539",Petrol + LPG,1st,"2,52,199"
100,Maruti Alto 800 LXI,Hyderabad,2016,"47,318",Petrol,1st,"2,78,999"
101,Hyundai i10 MAGNA 1.2,Hyderabad,2009,"66,427",Petrol,2nd,"2,32,999"
102,Hyundai Santro Xing GL PLUS,Hyderabad,2011,"88,720",Petrol,1st,"2,52,299"
103,Maruti Alto K10 VXI,Hyderabad,2017,"84,937",Petrol,1st,"3,19,699"
104,Hyundai Santro Xing GLS,Hyderabad,2009,"31,094",Petrol,1st,"2,07,199"
105,Maruti Swift VXI,Hyderabad,2013,"64,113",Petrol,2nd,"4,00,999"
106,Maruti Eeco 5 STR WITH AC PLUSHTR,Hyderabad,2019,"18,951",Petrol,1st,"4,35,199"
107,Maruti Ciaz DELTA 1.5 SHVS VVT,Hyderabad,2018,"21,411",Petrol,1st,"7,59,699"
108,Maruti Dzire VXI AMT,Hyderabad,2018,"42,575",Petrol,1st,"6,35,799"
109,Hyundai Santro Xing XO ERLX EURO III,Hyderabad,2007,"52,521",Petrol,2nd,"1,68,299"
110,Maruti Swift VDI,Hyderabad,2016,"43,630",Diesel,2nd,"5,24,799"
111,Maruti Wagon R 1.0 VXI,Hyderabad,2018,"31,946",Petrol,1st,"4,20,699"
